Date,Open,High,Low,Close,Volume
1/17/2018,11393.97,11794.07,9222,11191.35,41356.18974
1/18/2018,11199,12146,10693,11247.57,22195.02021
1/19/2018,11290.9,12050.39,11025.18,11552,13202.4614
1/20/2018,11560.82,13052.12,11515.94,12775.99,10324.05733
1/21/2018,12782.99,12791.88,11100,11558.87,11592.83249
1/22/2018,11558.87,11910.78,10028.41,10808.99,17067.52108
1/23/2018,10810,11409.87,9927.54,10851.82,17250.17615
1/24/2018,10848.99,11500,10488.13,11400.96,11646.23173
1/25/2018,11400.98,11741.82,10868.57,11155.54,10212.92183
1/26/2018,11140.01,11635,10263.32,11092.95,15074.18138
1/27/2018,11093.74,11630.47,10815.84,11446.54,10306.40744
1/28/2018,11446.54,11989.15,11360.52,11685.58,9955.625766
1/29/2018,11685.58,11820.01,10991,11162.62,9996.356898
1/30/2018,11162.62,11222.36,9731.2,9971,21082.19253
1/31/2018,9971,10324,9514.96,10149,12743.50947
2/1/2018,10148.99,10187.56,8455,8998.99,26356.58884
2/2/2018,9010.87,9096.79,7625.25,8838.83,44406.01983
2/3/2018,8838.29,9491.2,8170.71,9225.86,16208.37411
2/4/2018,9225.31,9350.09,7825,8191,19110.58974
2/5/2018,8190.78,8335.56,6600,6874.27,46544.4288
2/6/2018,6878.65,8150,5920.72,7737.37,70961.36966
2/7/2018,7737.26,8649,7213.8,7588.01,32640.89254
2/8/2018,7588.01,8644.36,7565.5,8259.76,22746.39118
2/9/2018,8259.42,8779.62,7753.32,8693.98,18418.11709
2/10/2018,8693.98,9090.8,8170.86,8560,14670.5587
2/11/2018,8560,8560,7820,8067,12711.78585
2/12/2018,8077.25,8995,8067,8899,15055.78159
2/13/2018,8891.2,8951.89,8360.13,8522.99,11344.34063
2/14/2018,8504.57,9515,8504.57,9490.98,17468.73887
2/15/2018,9490.98,10234,9350,10018,21020.78135
2/16/2018,10011.3,10300,9707.51,10196,11857.64278
2/17/2018,10203.14,11135.83,10053.5,11101,14511.16559
2/18/2018,11101,11300,10153.15,10421.06,17623.07943
2/19/2018,10433.68,11262.48,10307.51,11173,11698.25623
2/20/2018,11159.12,11780,11080.37,11233.41,15880.90904
2/21/2018,11233.42,11275.74,10256,10449.4,19959.67716
2/22/2018,10446.79,10935,9731.2,9843.34,20042.94723
2/23/2018,9833.25,10405.3,9600,10166.1,16031.82442
2/24/2018,10135.2,10540.63,9373.48,9689.99,13972.71472
2/25/2018,9688.26,9883.41,9260,9590.04,11037.17695
2/26/2018,9595.99,10461.97,9376.34,10324.7,16156.80506
2/27/2018,10329.99,10850,10150,10566.3,10408.47994
2/28/2018,10572.49,11064.75,10255.07,10314.9,10490.74906
3/1/2018,10314.99,11090,10223.41,10903.13,9481.665146
3/2/2018,10917.37,11175,10774.01,11029.99,8329.097901
3/3/2018,11032.81,11503.24,11022.85,11445,7786.26754
3/4/2018,11445,11511,11054.91,11463.27,6830.567139
3/5/2018,11479.68,11688,11383.66,11419.24,9933.676233
3/6/2018,11417.39,11420.01,10560.19,10723.76,14734.41949
3/7/2018,10723.01,10911.78,9450,9913.03,26116.51185
3/8/2018,9904.52,10150,9078.95,9285.32,22522.42747
3/9/2018,9293.06,9420.39,8366,9230,29014.16684
3/10/2018,9228.83,9514.96,8697,8791.47,12886.58858
3/11/2018,8795.04,9768.37,8450,9535.04,16407.54238
3/12/2018,9535.04,9892,8742.07,9120.75,18751.02058
3/13/2018,9115.24,9482.79,8830,9142.32,16001.47535
3/14/2018,9152.07,9356.14,7948,8196.69,21191.02314
3/15/2018,8195.99,8425,7682,8265.05,18387.60999
3/16/2018,8265.05,8613.06,7914.08,8258.54,16498.62434
3/17/2018,8258.54,8356.4,7730.23,7860.83,12048.66889
3/18/2018,7860.83,8324.92,7325.37,8188.24,19547.36115
3/19/2018,8205.55,8718.74,8114.17,8596.93,19396.08836
3/20/2018,8596.79,9051,8313.01,8904.02,13454.82226
3/21/2018,8904.02,9188.1,8754.83,8893.79,12100.99713
3/22/2018,8892.18,9099.59,8503.52,8704.67,12587.63392
3/23/2018,8708.52,8920.79,8265,8920.79,13749.78486
3/24/2018,8917.99,9020,8505,8547,9731.982368
3/25/2018,8541.96,8680,8368.63,8453.9,9155.912148
3/26/2018,8451.12,8500,7831.15,8149.66,17693.41534
3/27/2018,8152.26,8211.62,7742.11,7791.7,12385.25028
3/28/2018,7791.69,8104.98,7723.03,7932.41,8437.64468
3/29/2018,7932.41,7968,6914.53,7088.38,22138.11413
3/30/2018,7086.14,7302.35,6550,6850,29101.44803
